Node 7, start at 640, n: 5, c:5
Node 8, start at 30, n: 3, c:3
Node 9, start at 581, n: 13, c:13
Node 10, start at 926, n: 5, c:5
Node 11, start at 901, n: 13, c:13
Node 12, start at 422, n: 5, c:5
Node 13, start at 565, n: 3, c:3
Node 14, start at 178, n: 5, c:5
Node 15, start at 242, n: 3, c:3
Node 16, start at 471, n: 11, c:11
Node 17, start at 522, n: 5, c:5
Node 18, start at 140, n: 3, c:3
Node 19, start at 5, n: 3, c:3
Node 20, start at 782, n: 5, c:5
Node 0, start at 989, n: 5, c:5
Node 1, start at 951, n: 5, c:5
Node 2, start at 819, n: 5, c:5
Node 3, start at 801, n: 5, c:5
Node 4, start at 834, n: 5, c:5
Node 5, start at 578, n: 5, c:5
Node 6, start at 303, n: 5, c:5
Node 7, start at 640, n: 5, c:5
Node 8, start at 30, n: 5, c:5
Node 9, start at 581, n: 5, c:5
Node 10, start at 926, n: 5, c:5
Node 11, start at 901, n: 5, c:5
Node 12, start at 422, n: 5, c:5
Node 13, start at 565, n: 5, c:5
Node 14, start at 178, n: 5, c:5
Node 15, start at 242, n: 5, c:5
Node 16, start at 471, n: 5, c:5
Node 17, start at 522, n: 5, c:5
Node 18, start at 140, n: 5, c:5
Node 19, start at 5, n: 5, c:5
Node 20, start at 782, n: 5, c:5
Node 0, start at 383, n: 3, c:3
Node 1, start at 276, n: 7, c:7
Node 2, start at 104, n: 7, c:7
Node 3, start at 315, n: 3, c:3
Node 4, start at 658, n: 3, c:3
Node 5, start at 736, n: 3, c:3
Node 6, start at 100, n: 13, c:13
Node 7, start at 66, n: 7, c:7
Node 8, start at 383, n: 3, c:3
Node 9, start at 933, n: 5, c:5
Node 10, start at 643, n: 3, c:3
Node 11, start at 531, n: 3, c:3
Node 12, start at 270, n: 3, c:3
Node 13, start at 296, n: 3, c:3
Node 14, start at 385, n: 13, c:13
Node 15, start at 235, n: 5, c:5
Node 16, start at 143, n: 5, c:5
Node 17, start at 839, n: 7, c:7
Node 18, start at 874, n: 5, c:5
Node 19, start at 332, n: 5, c:5
Node 20, start at 31, n: 5, c:5
Node 0, start at 383, n: 5, c:5
Node 1, start at 276, n: 5, c:5
Node 2, start at 104, n: 5, c:5
Node 3, start at 315, n: 5, c:5
Node 4, start at 658, n: 5, c:5
Node 5, start at 736, n: 5, c:5
Node 6, start at 100, n: 5, c:5
Node 7, start at 66, n: 5, c:5
Node 8, start at 383, n: 5, c:5
Node 9, start at 933, n: 5, c:5
Node 10, start at 643, n: 5, c:5
Node 11, start at 531, n: 5, c:5
Node 12, start at 270, n: 5, c:5
Node 13, start at 296, n: 5, c:5
Node 14, start at 385, n: 5, c:5
Node 15, start at 235, n: 5, c:5
Node 16, start at 143, n: 5, c:5
Node 17, start at 839, n: 5, c:5
Node 18, start at 874, n: 5, c:5
Node 19, start at 332, n: 5, c:5
Node 20, start at 31, n: 5, c:5
Node 0, start at 870, n: 5, c:5
Node 1, start at 55, n: 11, c:11
Node 2, start at 729, n: 5, c:5
Node 3, start at 450, n: 5, c:5
Node 4, start at 845, n: 5, c:5
Node 5, start at 713, n: 3, c:3
Node 6, start at 243, n: 5, c:5
Node 7, start at 708, n: 5, c:5
Node 8, start at 977, n: 3, c:3
Node 9, start at 316, n: 5, c:5
Node 10, start at 137, n: 5, c:5
Node 11, start at 303, n: 7, c:7
Node 12, start at 561, n: 7, c:7
Node 13, start at 995, n: 11, c:11
Node 14, start at 493, n: 3, c:3
Node 15, start at 5, n: 3, c:3
Node 16, start at 415, n: 11, c:11
Node 17, start at 477, n: 11, c:11
Node 18, start at 550, n: 3, c:3
Node 19, start at 674, n: 5, c:5
Node 20, start at 747, n: 3, c:3
Node 0, start at 870, n: 5, c:5
Node 1, start at 55, n: 5, c:5
Node 2, start at 729, n: 5, c:5
Node 3, start at 450, n: 5, c:5
Node 4, start at 845, n: 5, c:5
Node 5, start at 713, n: 5, c:5
Node 6, start at 243, n: 5, c:5
Node 7, start at 708, n: 5, c:5
Node 8, start at 977, n: 5, c:5
Node 9, start at 316, n: 5, c:5
Node 10, start at 137, n: 5, c:5
Node 11, start at 303, n: 5, c:5
Node 12, start at 561, n: 5, c:5
Node 13, start at 995, n: 5, c:5
Node 14, start at 493, n: 5, c:5
Node 15, start at 5, n: 5, c:5
Node 16, start at 415, n: 5, c:5
