Node 5, start at 765, anchor: 7
Node 6, start at 405, anchor: 7
Node 7, start at 734, anchor: 13
Node 8, start at 754, anchor: 5
Node 9, start at 946, anchor: 5
Node 10, start at 881, anchor: 7
Node 11, start at 890, anchor: 11
Node 12, start at 890, anchor: 19
Node 13, start at 374, anchor: 5
Node 14, start at 745, anchor: 5
Node 15, start at 452, anchor: 7
Node 16, start at 726, anchor: 7
Node 17, start at 154, anchor: 7
Node 18, start at 762, anchor: 5
Node 19, start at 64, anchor: 5
Node 20, start at 198, anchor: 7
Node 0, start at 569, anchor: 7
Node 1, start at 904, anchor: 7
Node 2, start at 815, anchor: 7
Node 3, start at 788, anchor: 7
Node 4, start at 52, anchor: 7
Node 5, start at 765, anchor: 7
Node 6, start at 405, anchor: 7
Node 7, start at 734, anchor: 7
Node 8, start at 754, anchor: 7
Node 9, start at 946, anchor: 7
Node 10, start at 881, anchor: 7
Node 11, start at 890, anchor: 7
Node 12, start at 890, anchor: 7
Node 13, start at 374, anchor: 7
Node 14, start at 745, anchor: 7
Node 15, start at 452, anchor: 7
Node 16, start at 726, anchor: 7
Node 17, start at 154, anchor: 7
Node 18, start at 762, anchor: 7
Node 19, start at 64, anchor: 7
Node 20, start at 198, anchor: 7
Node 0, start at 137, anchor: 5
Node 1, start at 54, anchor: 5
Node 2, start at 556, anchor: 11
Node 3, start at 64, anchor: 7
Node 4, start at 13, anchor: 19
Node 5, start at 689, anchor: 5
Node 6, start at 161, anchor: 5
Node 7, start at 715, anchor: 7
Node 8, start at 846, anchor: 19
Node 9, start at 854, anchor: 5
Node 10, start at 727, anchor: 5
Node 11, start at 453, anchor: 7
Node 12, start at 627, anchor: 19
Node 13, start at 952, anchor: 7
Node 14, start at 808, anchor: 3
Node 15, start at 505, anchor: 3
Node 16, start at 762, anchor: 5
Node 17, start at 214, anchor: 5
Node 18, start at 415, anchor: 7
Node 19, start at 24, anchor: 5
Node 20, start at 100, anchor: 11
Node 0, start at 137, anchor: 7
Node 1, start at 54, anchor: 7
Node 2, start at 556, anchor: 7
Node 3, start at 64, anchor: 7
Node 4, start at 13, anchor: 7
Node 5, start at 689, anchor: 7
Node 6, start at 161, anchor: 7
Node 7, start at 715, anchor: 7
Node 8, start at 846, anchor: 7
Node 9, start at 854, anchor: 7
Node 10, start at 727, anchor: 7
Node 11, start at 453, anchor: 7
Node 12, start at 627, anchor: 7
Node 13, start at 952, anchor: 7
Node 14, start at 808, anchor: 7
Node 15, start at 505, anchor: 7
Node 16, start at 762, anchor: 7
Node 17, start at 214, anchor: 7
Node 18, start at 415, anchor: 7
Node 19, start at 24, anchor: 7
Node 20, start at 100, anchor: 7
Node 0, start at 863, anchor: 5
Node 1, start at 224, anchor: 5
Node 2, start at 881, anchor: 11
Node 3, start at 340, anchor: 19
Node 4, start at 189, anchor: 13
Node 5, start at 170, anchor: 3
Node 6, start at 895, anchor: 11
Node 7, start at 333, anchor: 13
Node 8, start at 566, anchor: 5
Node 9, start at 995, anchor: 5
Node 10, start at 744, anchor: 7
Node 11, start at 642, anchor: 19
Node 12, start at 873, anchor: 11
Node 13, start at 45, anchor: 7
Node 14, start at 143, anchor: 3
Node 15, start at 223, anchor: 7
Node 16, start at 189, anchor: 7
Node 17, start at 639, anchor: 5
Node 18, start at 914, anchor: 7
Node 19, start at 26, anchor: 5
