Node 322, start at 94, n: 3, c:11
Node 323, start at 20, n: 3, c:11
Node 324, start at 941, n: 2, c:11
Node 325, start at 239, n: 2, c:11
Node 326, start at 167, n: 3, c:11
Node 327, start at 554, n: 2, c:11
Node 328, start at 285, n: 2, c:11
Node 329, start at 989, n: 5, c:11
Node 330, start at 158, n: 2, c:11
Node 331, start at 739, n: 2, c:11
Node 332, start at 720, n: 53, c:11
Node 333, start at 882, n: 53, c:11
Node 334, start at 438, n: 2, c:11
Node 335, start at 373, n: 2, c:11
Node 336, start at 17, n: 5, c:11
Node 337, start at 465, n: 7, c:11
Node 338, start at 312, n: 2, c:11
Node 339, start at 773, n: 7, c:11
Node 340, start at 677, n: 2, c:11
Node 341, start at 53, n: 2, c:11
Node 342, start at 595, n: 7, c:11
Node 343, start at 68, n: 2, c:11
Node 344, start at 480, n: 7, c:11
Node 345, start at 878, n: 2, c:11
Node 346, start at 959, n: 2, c:11
Node 347, start at 351, n: 53, c:11
Node 348, start at 852, n: 5, c:11
Node 349, start at 384, n: 2, c:11
Node 350, start at 232, n: 2, c:11
Node 351, start at 447, n: 2, c:11
Node 352, start at 476, n: 7, c:11
Node 353, start at 860, n: 3, c:11
Node 354, start at 821, n: 2, c:11
Node 355, start at 858, n: 53, c:11
Node 356, start at 866, n: 3, c:11
Node 357, start at 518, n: 2, c:11
Node 358, start at 527, n: 2, c:11
Node 359, start at 533, n: 53, c:11
Node 360, start at 714, n: 2, c:11
Node 361, start at 327, n: 2, c:11
Node 362, start at 324, n: 3, c:11
Node 363, start at 485, n: 3, c:11
Node 364, start at 988, n: 2, c:11
Node 365, start at 107, n: 2, c:11
Node 366, start at 35, n: 7, c:11
Node 367, start at 626, n: 2, c:11
Node 368, start at 755, n: 7, c:11
Node 369, start at 881, n: 2, c:11
Node 370, start at 423, n: 3, c:11
Node 371, start at 378, n: 2, c:11
Node 372, start at 70, n: 3, c:11
Node 373, start at 496, n: 7, c:11
Node 374, start at 225, n: 53, c:11
Node 375, start at 510, n: 7, c:11
Node 376, start at 274, n: 7, c:11
Node 377, start at 927, n: 2, c:11
Node 378, start at 509, n: 7, c:11
Node 379, start at 694, n: 53, c:11
Node 380, start at 611, n: 2, c:11
Node 381, start at 832, n: 2, c:11
Node 382, start at 354, n: 2, c:11
Node 383, start at 187, n: 2, c:11
Node 384, start at 326, n: 2, c:11
Node 385, start at 32, n: 7, c:11
Node 386, start at 559, n: 2, c:11
Node 387, start at 336, n: 5, c:11
Node 388, start at 959, n: 7, c:11
Node 389, start at 218, n: 2, c:11
Node 390, start at 589, n: 2, c:11
Node 391, start at 198, n: 7, c:11
Node 392, start at 553, n: 2, c:11
Node 393, start at 100, n: 2, c:11
Node 394, start at 400, n: 5, c:11
Node 395, start at 426, n: 2, c:11
Node 396, start at 839, n: 7, c:11
Node 397, start at 503, n: 2, c:11
Node 398, start at 740, n: 7, c:11
Node 399, start at 38, n: 2, c:11
Node 400, start at 237, n: 2, c:11
Node 401, start at 191, n: 2, c:11
Node 402, start at 768, n: 2, c:11
Node 403, start at 834, n: 2, c:11
Node 404, start at 830, n: 53, c:11
Node 405, start at 18, n: 2, c:11
Node 406, start at 675, n: 2, c:11
Node 407, start at 953, n: 7, c:11
Node 408, start at 780, n: 2, c:11
Node 409, start at 171, n: 2, c:11
Node 410, start at 985, n: 7, c:11
Node 411, start at 705, n: 7, c:11
Node 412, start at 889, n: 5, c:11
Node 413, start at 373, n: 7, c:11
Node 414, start at 170, n: 53, c:11
Node 415, start at 930, n: 2, c:11
Node 416, start at 695, n: 3, c:11
Node 417, start at 127, n: 5, c:11
Node 418, start at 752, n: 2, c:11
Node 419, start at 874, n: 2, c:11
Node 420, start at 87, n: 2, c:11
Node 421, start at 128, n: 2, c:11
Node 422, start at 117, n: 3, c:11
Node 423, start at 971, n: 3, c:11
Node 424, start at 876, n: 2, c:11
Node 425, start at 95, n: 2, c:11
Node 426, start at 886, n: 2, c:11
Node 427, start at 716, n: 53, c:11
Node 428, start at 878, n: 53, c:11
Node 429, start at 858, n: 3, c:11
Node 430, start at 257, n: 7, c:11
Node 431, start at 31, n: 2, c:11
Node 432, start at 539, n: 7, c:11
Node 433, start at 185, n: 2, c:11
Node 434, start at 317, n: 3, c:11
Node 435, start at 824, n: 53, c:11
Node 436, start at 295, n: 2, c:11
Node 437, start at 145, n: 2, c:11
Node 438, start at 446, n: 3, c:11
Node 439, start at 79, n: 2, c:11
Node 440, start at 336, n: 2, c:11
Node 441, start at 194, n: 3, c:11
Node 442, start at 356, n: 2, c:11
Node 443, start at 275, n: 2, c:11
Node 444, start at 22, n: 2, c:11
Node 445, start at 266, n: 2, c:11
Node 446, start at 448, n: 53, c:11
Node 447, start at 92, n: 53, c:11
Node 448, start at 713, n: 7, c:11
Node 449, start at 401, n: 2, c:11
Node 450, start at 165, n: 7, c:11
Node 451, start at 156, n: 2, c:11
Node 452, start at 856, n: 53, c:11
Node 453, start at 36, n: 7, c:11
Node 454, start at 85, n: 2, c:11
Node 455, start at 4, n: 2, c:11
Node 456, start at 552, n: 2, c:11
Node 457, start at 629, n: 2, c:11
Node 458, start at 18, n: 3, c:11
Node 459, start at 38, n: 53, c:11
Node 460, start at 441, n: 7, c:11
Node 461, start at 751, n: 2, c:11
Node 462, start at 824, n: 3, c:11
Node 463, start at 22, n: 53, c:11
Node 464, start at 793, n: 3, c:11
Node 465, start at 650, n: 7, c:11
Node 466, start at 572, n: 53, c:11
Node 467, start at 238, n: 2, c:11
Node 468, start at 69, n: 2, c:11
Node 469, start at 663, n: 2, c:11
Node 470, start at 773, n: 7, c:11
Node 471, start at 574, n: 2, c:11
Node 472, start at 282, n: 2, c:11
Node 473, start at 251, n: 2, c:11
Node 474, start at 595, n: 2, c:11
Node 475, start at 823, n: 2, c:11
Node 476, start at 616, n: 2, c:11
Node 477, start at 829, n: 2, c:11
Node 478, start at 628, n: 2, c:11
Node 479, start at 833, n: 2, c:11
Node 480, start at 721, n: 5, c:11
Node 481, start at 437, n: 2, c:11
Node 482, start at 239, n: 2, c:11
Node 483, start at 72, n: 2, c:11
Node 484, start at 602, n: 3, c:11
Node 485, start at 257, n: 2, c:11
Node 486, start at 198, n: 5, c:11
Node 487, start at 985, n: 53, c:11
Node 488, start at 920, n: 2, c:11
Node 489, start at 223, n: 53, c:11
Node 490, start at 503, n: 2, c:11
Node 491, start at 548, n: 53, c:11
Node 492, start at 398, n: 2, c:11
Node 493, start at 442, n: 2, c:11
Node 494, start at 941, n: 2, c:11
Node 495, start at 432, n: 2, c:11
Node 496, start at 337, n: 2, c:11
Node 497, start at 637, n: 2, c:11
Node 498, start at 237, n: 2, c:11
Node 499, start at 26, n: 2, c:11
Node 500, start at 755, n: 2, c:11
Node 501, start at 888, n: 2, c:11
Node 502, start at 628, n: 3, c:11
Node 503, start at 328, n: 2, c:11
Node 504, start at 487, n: 53, c:11
Node 505, start at 396, n: 2, c:11
Node 506, start at 201, n: 2, c:11
Node 507, start at 768, n: 2, c:11
Node 508, start at 272, n: 7, c:11
Node 509, start at 846, n: 2, c:11
Node 510, start at 210, n: 7, c:11
Node 511, start at 569, n: 2, c:11
Node 512, start at 320, n: 2, c:11
Node 513, start at 757, n: 7, c:11
Node 514, start at 740, n: 2, c:11
Node 515, start at 573, n: 2, c:11
Node 516, start at 194, n: 2, c:11
Node 517, start at 49, n: 53, c:11
Node 518, start at 221, n: 7, c:11
Node 519, start at 65, n: 53, c:11
Node 520, start at 376, n: 53, c:11
Node 521, start at 195, n: 2, c:11
Node 522, start at 577, n: 7, c:11
Node 523, start at 666, n: 53, c:11
Node 524, start at 353, n: 2, c:11
Node 525, start at 982, n: 5, c:11
Node 526, start at 312, n: 2, c:11
Node 527, start at 416, n: 5, c:11
Node 528, start at 776, n: 5, c:11
Node 529, start at 669, n: 2, c:11
Node 530, start at 816, n: 5, c:11
Node 531, start at 78, n: 5, c:11
Node 532, start at 221, n: 2, c:11
Node 533, start at 342, n: 2, c:11
Node 534, start at 245, n: 2, c:11
Node 535, start at 24, n: 53, c:11
Node 536, start at 817, n: 2, c:11
Node 537, start at 679, n: 2, c:11
Node 538, start at 882, n: 3, c:11
Node 539, start at 795, n: 2, c:11
Node 540, start at 860, n: 2, c:11
Node 541, start at 105, n: 7, c:11
Node 542, start at 430, n: 3, c:11
Node 543, start at 986, n: 5, c:11
Node 544, start at 381, n: 3, c:11
Node 545, start at 146, n: 53, c:11
Node 546, start at 639, n: 7, c:11
Node 547, start at 546, n: 2, c:11
Node 548, start at 237, n: 2, c:11
Node 549, start at 730, n: 3, c:11
Node 550, start at 125, n: 7, c:11
Node 551, start at 667, n: 2, c:11
Node 552, start at 730, n: 2, c:11
Node 553, start at 803, n: 2, c:11
Node 554, start at 739, n: 7, c:11
Node 555, start at 811, n: 2, c:11
Node 556, start at 908, n: 3, c:11
Node 557, start at 158, n: 2, c:11
Node 558, start at 175, n: 2, c:11
Node 559, start at 657, n: 2, c:11
Node 560, start at 977, n: 53, c:11
Node 561, start at 63, n: 5, c:11
Node 562, start at 12, n: 2, c:11
Node 563, start at 78, n: 53, c:11
Node 564, start at 807, n: 2, c:11
Node 565, start at 77, n: 2, c:11
Node 566, start at 863, n: 2, c:11
Node 567, start at 820, n: 2, c:11
Node 568, start at 611, n: 2, c:11
Node 569, start at 888, n: 2, c:11
Node 570, start at 137, n: 2, c:11
