Node 12, start at 962, n: 3, c:3
Node 13, start at 423, n: 3, c:3
Node 14, start at 916, n: 5, c:5
Node 15, start at 668, n: 13, c:13
Node 16, start at 741, n: 7, c:7
Node 17, start at 788, n: 7, c:7
Node 18, start at 637, n: 3, c:3
Node 19, start at 286, n: 3, c:3
Node 20, start at 676, n: 5, c:5
Node 0, start at 248, n: 5, c:5
Node 1, start at 934, n: 5, c:5
Node 2, start at 410, n: 5, c:5
Node 3, start at 548, n: 5, c:5
Node 4, start at 500, n: 5, c:5
Node 5, start at 102, n: 5, c:5
Node 6, start at 830, n: 5, c:5
Node 7, start at 302, n: 5, c:5
Node 8, start at 544, n: 5, c:5
Node 9, start at 779, n: 5, c:5
Node 10, start at 870, n: 5, c:5
Node 11, start at 439, n: 5, c:5
Node 12, start at 962, n: 5, c:5
Node 13, start at 423, n: 5, c:5
Node 14, start at 916, n: 5, c:5
Node 15, start at 668, n: 5, c:5
Node 16, start at 741, n: 5, c:5
Node 17, start at 788, n: 5, c:5
Node 18, start at 637, n: 5, c:5
Node 19, start at 286, n: 5, c:5
Node 20, start at 676, n: 5, c:5
Node 0, start at 696, n: 3, c:3
Node 1, start at 661, n: 3, c:3
Node 2, start at 357, n: 11, c:11
Node 3, start at 81, n: 3, c:3
Node 4, start at 515, n: 3, c:3
Node 5, start at 338, n: 5, c:5
Node 6, start at 614, n: 5, c:5
Node 7, start at 221, n: 13, c:13
Node 8, start at 981, n: 5, c:5
Node 9, start at 481, n: 5, c:5
Node 10, start at 300, n: 3, c:3
Node 11, start at 337, n: 3, c:3
Node 12, start at 692, n: 7, c:7
Node 13, start at 899, n: 5, c:5
Node 14, start at 691, n: 3, c:3
Node 15, start at 215, n: 3, c:3
Node 16, start at 526, n: 3, c:3
Node 17, start at 674, n: 5, c:5
Node 18, start at 990, n: 11, c:11
Node 19, start at 727, n: 7, c:7
Node 20, start at 878, n: 3, c:3
Node 0, start at 696, n: 3, c:3
Node 1, start at 661, n: 3, c:3
Node 2, start at 357, n: 3, c:3
Node 3, start at 81, n: 3, c:3
Node 4, start at 515, n: 3, c:3
Node 5, start at 338, n: 3, c:3
Node 6, start at 614, n: 3, c:3
Node 7, start at 221, n: 3, c:3
Node 8, start at 981, n: 3, c:3
Node 9, start at 481, n: 3, c:3
Node 10, start at 300, n: 3, c:3
Node 11, start at 337, n: 3, c:3
Node 12, start at 692, n: 3, c:3
Node 13, start at 899, n: 3, c:3
Node 14, start at 691, n: 3, c:3
Node 15, start at 215, n: 3, c:3
Node 16, start at 526, n: 3, c:3
Node 17, start at 674, n: 3, c:3
Node 18, start at 990, n: 3, c:3
Node 19, start at 727, n: 3, c:3
Node 20, start at 878, n: 3, c:3
Node 0, start at 423, n: 13, c:13
Node 1, start at 686, n: 5, c:5
Node 2, start at 195, n: 7, c:7
Node 3, start at 470, n: 3, c:3
Node 4, start at 646, n: 11, c:11
Node 5, start at 734, n: 13, c:13
Node 6, start at 606, n: 13, c:13
Node 7, start at 607, n: 3, c:3
Node 8, start at 485, n: 3, c:3
Node 9, start at 350, n: 5, c:5
Node 10, start at 474, n: 3, c:3
Node 11, start at 849, n: 3, c:3
Node 12, start at 940, n: 7, c:7
Node 13, start at 511, n: 7, c:7
Node 14, start at 594, n: 3, c:3
Node 15, start at 657, n: 3, c:3
Node 16, start at 598, n: 5, c:5
Node 17, start at 601, n: 13, c:13
Node 18, start at 981, n: 11, c:11
Node 19, start at 612, n: 13, c:13
Node 20, start at 227, n: 5, c:5
Node 0, start at 423, n: 3, c:3
Node 1, start at 686, n: 3, c:3
Node 2, start at 195, n: 3, c:3
Node 3, start at 470, n: 3, c:3
Node 4, start at 646, n: 3, c:3
Node 5, start at 734, n: 3, c:3
Node 6, start at 606, n: 3, c:3
Node 7, start at 607, n: 3, c:3
Node 8, start at 485, n: 3, c:3
Node 9, start at 350, n: 3, c:3
Node 10, start at 474, n: 3, c:3
Node 11, start at 849, n: 3, c:3
Node 12, start at 940, n: 3, c:3
Node 13, start at 511, n: 3, c:3
Node 14, start at 594, n: 3, c:3
Node 15, start at 657, n: 3, c:3
Node 16, start at 598, n: 3, c:3
Node 17, start at 601, n: 3, c:3
Node 18, start at 981, n: 3, c:3
Node 19, start at 612, n: 3, c:3
Node 20, start at 227, n: 3, c:3
Node 0, start at 822, n: 5, c:5
Node 1, start at 817, n: 5, c:5
Node 2, start at 450, n: 11, c:11
Node 3, start at 639, n: 3, c:3
Node 4, start at 828, n: 7, c:7
Node 5, start at 364, n: 3, c:3
Node 6, start at 669, n: 3, c:3
Node 7, start at 769, n: 7, c:7
Node 8, start at 282, n: 13, c:13
Node 9, start at 507, n: 5, c:5
Node 10, start at 826, n: 5, c:5
Node 11, start at 138, n: 5, c:5
Node 12, start at 747, n: 5, c:5
Node 13, start at 895, n: 13, c:13
Node 14, start at 662, n: 5, c:5
Node 15, start at 157, n: 3, c:3
Node 16, start at 783, n: 5, c:5
Node 17, start at 249, n: 5, c:5
Node 18, start at 184, n: 5, c:5
Node 19, start at 257, n: 7, c:7
Node 20, start at 3, n: 7, c:7
Node 0, start at 822, n: 5, c:5
Node 1, start at 817, n: 5, c:5
Node 2, start at 450, n: 5, c:5
Node 3, start at 639, n: 5, c:5
