Node 7, start at 67, c: 13
Node 8, start at 102, c: 7
Node 9, start at 839, c: 7
Node 10, start at 207, c: 5
Node 11, start at 476, c: 19
Node 12, start at 568, c: 11
Node 13, start at 113, c: 5
Node 14, start at 721, c: 11
Node 15, start at 554, c: 7
Node 16, start at 421, c: 5
Node 17, start at 724, c: 5
Node 18, start at 86, c: 3
Node 19, start at 812, c: 5
Node 20, start at 774, c: 3
Node 0, start at 872, c: 3
Node 1, start at 390, c: 3
Node 2, start at 790, c: 3
Node 3, start at 776, c: 3
Node 4, start at 678, c: 3
Node 5, start at 280, c: 3
Node 6, start at 414, c: 3
Node 7, start at 67, c: 3
Node 8, start at 102, c: 3
Node 9, start at 839, c: 3
Node 10, start at 207, c: 3
Node 11, start at 476, c: 3
Node 12, start at 568, c: 3
Node 13, start at 113, c: 3
Node 14, start at 721, c: 3
Node 15, start at 554, c: 3
Node 16, start at 421, c: 3
Node 17, start at 724, c: 3
Node 18, start at 86, c: 3
Node 19, start at 812, c: 3
Node 20, start at 774, c: 3
Node 0, start at 476, c: 7
Node 1, start at 445, c: 13
Node 2, start at 109, c: 11
Node 3, start at 999, c: 11
Node 4, start at 660, c: 7
Node 5, start at 825, c: 7
Node 6, start at 741, c: 3
Node 7, start at 318, c: 19
Node 8, start at 277, c: 7
Node 9, start at 635, c: 5
Node 10, start at 280, c: 7
Node 11, start at 900, c: 5
Node 12, start at 866, c: 13
Node 13, start at 46, c: 5
Node 14, start at 214, c: 7
Node 15, start at 889, c: 19
Node 16, start at 512, c: 13
Node 17, start at 410, c: 19
Node 18, start at 358, c: 5
Node 19, start at 338, c: 13
Node 20, start at 681, c: 19
Node 0, start at 476, c: 3
Node 1, start at 445, c: 3
Node 2, start at 109, c: 3
Node 3, start at 999, c: 3
Node 4, start at 660, c: 3
Node 5, start at 825, c: 3
Node 6, start at 741, c: 3
Node 7, start at 318, c: 3
Node 8, start at 277, c: 3
Node 9, start at 635, c: 3
Node 10, start at 280, c: 3
Node 11, start at 900, c: 3
Node 12, start at 866, c: 3
Node 13, start at 46, c: 3
Node 14, start at 214, c: 3
Node 15, start at 889, c: 3
Node 16, start at 512, c: 3
Node 17, start at 410, c: 3
Node 18, start at 358, c: 3
Node 19, start at 338, c: 3
Node 20, start at 681, c: 3
Node 0, start at 995, c: 3
Node 1, start at 673, c: 11
Node 2, start at 305, c: 5
Node 3, start at 328, c: 7
Node 4, start at 781, c: 3
Node 5, start at 4, c: 7
Node 6, start at 43, c: 5
Node 7, start at 391, c: 7
Node 8, start at 124, c: 5
Node 9, start at 795, c: 13
Node 10, start at 648, c: 3
Node 11, start at 756, c: 19
Node 12, start at 473, c: 5
Node 13, start at 309, c: 5
Node 14, start at 184, c: 5
Node 15, start at 521, c: 13
Node 16, start at 594, c: 5
Node 17, start at 400, c: 5
Node 18, start at 409, c: 7
Node 19, start at 416, c: 5
Node 20, start at 986, c: 5
Node 0, start at 995, c: 3
Node 1, start at 673, c: 3
Node 2, start at 305, c: 3
Node 3, start at 328, c: 3
Node 4, start at 781, c: 3
Node 5, start at 4, c: 3
