Node 1, start at 57, n: 2, c:11
Node 2, start at 381, n: 2, c:11
Node 3, start at 342, n: 2, c:11
Node 4, start at 915, n: 2, c:11
Node 5, start at 799, n: 2, c:11
Node 6, start at 999, n: 2, c:11
Node 7, start at 700, n: 2, c:11
Node 8, start at 636, n: 2, c:11
Node 9, start at 941, n: 2, c:11
Node 10, start at 376, n: 2, c:11
Node 11, start at 468, n: 2, c:11
Node 12, start at 592, n: 2, c:11
Node 13, start at 638, n: 2, c:11
Node 14, start at 99, n: 2, c:11
Node 15, start at 770, n: 2, c:11
Node 16, start at 213, n: 2, c:11
Node 17, start at 312, n: 2, c:11
Node 18, start at 257, n: 2, c:11
Node 19, start at 574, n: 2, c:11
Node 20, start at 979, n: 2, c:11
Node 0, start at 724, n: 2, c:11
Node 1, start at 383, n: 2, c:11
Node 2, start at 971, n: 2, c:11
Node 3, start at 530, n: 2, c:11
Node 4, start at 830, n: 7, c:11
Node 5, start at 487, n: 2, c:11
Node 6, start at 425, n: 53, c:11
Node 7, start at 14, n: 2, c:11
Node 8, start at 728, n: 53, c:11
Node 9, start at 640, n: 2, c:11
Node 10, start at 814, n: 2, c:11
Node 11, start at 932, n: 7, c:11
Node 12, start at 427, n: 2, c:11
Node 13, start at 955, n: 3, c:11
Node 14, start at 925, n: 53, c:11
Node 15, start at 776, n: 2, c:11
Node 16, start at 633, n: 7, c:11
Node 17, start at 15, n: 7, c:11
Node 18, start at 110, n: 2, c:11
Node 19, start at 97, n: 5, c:11
Node 20, start at 169, n: 2, c:11
Node 0, start at 724, n: 2, c:11
Node 1, start at 383, n: 2, c:11
Node 2, start at 971, n: 2, c:11
Node 3, start at 530, n: 2, c:11
Node 4, start at 830, n: 2, c:11
Node 5, start at 487, n: 2, c:11
Node 6, start at 425, n: 2, c:11
Node 7, start at 14, n: 2, c:11
Node 8, start at 728, n: 2, c:11
Node 9, start at 640, n: 2, c:11
Node 10, start at 814, n: 2, c:11
Node 11, start at 932, n: 2, c:11
Node 12, start at 427, n: 2, c:11
Node 13, start at 955, n: 2, c:11
Node 14, start at 925, n: 2, c:11
Node 15, start at 776, n: 2, c:11
Node 16, start at 633, n: 2, c:11
Node 17, start at 15, n: 2, c:11
Node 18, start at 110, n: 2, c:11
Node 19, start at 97, n: 2, c:11
Node 20, start at 169, n: 2, c:11
Node 0, start at 493, n: 3, c:11
Node 1, start at 392, n: 3, c:11
Node 2, start at 215, n: 7, c:11
Node 3, start at 878, n: 2, c:11
Node 4, start at 888, n: 2, c:11
Node 5, start at 722, n: 2, c:11
Node 6, start at 817, n: 2, c:11
Node 7, start at 842, n: 2, c:11
Node 8, start at 331, n: 3, c:11
Node 9, start at 536, n: 2, c:11
Node 10, start at 759, n: 7, c:11
Node 11, start at 298, n: 3, c:11
Node 12, start at 833, n: 7, c:11
Node 13, start at 329, n: 2, c:11
Node 14, start at 145, n: 3, c:11
Node 15, start at 571, n: 5, c:11
Node 16, start at 634, n: 2, c:11
Node 17, start at 985, n: 2, c:11
Node 18, start at 241, n: 7, c:11
Node 19, start at 518, n: 5, c:11
Node 20, start at 397, n: 2, c:11
Node 0, start at 493, n: 2, c:11
Node 1, start at 392, n: 2, c:11
Node 2, start at 215, n: 2, c:11
Node 3, start at 878, n: 2, c:11
Node 4, start at 888, n: 2, c:11
Node 5, start at 722, n: 2, c:11
Node 6, start at 817, n: 2, c:11
Node 7, start at 842, n: 2, c:11
Node 8, start at 331, n: 2, c:11
Node 9, start at 536, n: 2, c:11
Node 10, start at 759, n: 2, c:11
Node 11, start at 298, n: 2, c:11
Node 12, start at 833, n: 2, c:11
Node 13, start at 329, n: 2, c:11
Node 14, start at 145, n: 2, c:11
Node 15, start at 571, n: 2, c:11
Node 16, start at 634, n: 2, c:11
Node 17, start at 985, n: 2, c:11
Node 18, start at 241, n: 2, c:11
Node 19, start at 518, n: 2, c:11
Node 20, start at 397, n: 2, c:11
